conversation_id_str,full_text,id_str,user_id_str,username,full_text_normalized
1897624833002803541,WTS WTB READY NETFLIX VIDIO DISNEY CANVA VIU WETV IQIYI APPLEMUSIC YOUTUBE PRIME BSTATION LOKLOK YOUKU HBO GO GET CONTACT SCRIBD CHATGPT SEWA ZOOM PRO MAU BELI? GAS KE LiNK https://t.co/VLe5BApnco t. Januari Zouis Gus Miftah bahlil Gaza pagiii #zonauang #zonajajan 262 https://t.co/94jlSumcDe,1897624833002803541,2665585345,cueirs,WTS WTB READY NETFLIX VIDIO DISNEY CANVA VIU WETV IQIYI APPLEMUSIC YOUTUBE PRIME BSTATION LOKLOK YOUKU HBO GO GET CONTACT SCRIBD CHATGPT SEWA ZOOM PRO MAU BELI? GAS KE LiNK https://t.co/VLe5BApnco t. Januari Zouis Gus Miftah bahlil Gaza pagiii #zonauang #zonajajan 262 https://t.co/94jlSumcDe
1897622318048055391,bahlil apa bahlul,1897624685631701135,1733337995254857728,satorupps,bahlil apa bahlul
1897623877708116322,simulasi nyambit kepala bahlil https://t.co/tQAjdVdQyr,1897623877708116322,2924099870,greeaseball,simulasi nyambit kepala bahlil https://t.co/tQAjdVdQyr
1897609841650348505,Psti si dobin bau acem kek bahlil loh yah,1897623551039164550,1491358597581705218,vanillabaka,Psti si dobin bau acem kek bahlil loh yah
1897623546861683086,flora &gt; bahlil (yang telah merenggut satu nyawa),1897623546861683086,1182523199889670144,sirkumbang,flora &gt; bahlil (yang telah merenggut satu nyawa)
1897583485495484773,Yg salah si bahlil,1897623521620349224,1872226798647537664,rakeljungwon,Yg salah si bahlil
1897620768395346096,kenapa bahlil sih ayy lunar mah putih bersih suci gitu kaga dekil kaya kaga dimandiin dari lahir #NamtanFilm1stFMLive #NamtanFilm #น้ำตาลฟิล์ม,1897622484608045226,1274854848362512385,rubby_j13,kenapa bahlil sih ayy lunar mah putih bersih suci begitu  kaga dekil kaya kaga dimandiin dari lahir #NamtanFilm1stFMLive #NamtanFilm #น้ำตาลฟิล์ม
1897622318048055391,udh berusaha semaksimal mungkin tp hasilnya bahlil,1897622318048055391,1894611520858054656,bukanpecandukak,sudah berusaha semaksimal mungkin tapi hasilnya bahlil
1897525266211278978,demi Allah masih heran..ini dulu jkw nemu dimana si hidden gem kek bahlil ini,1897621575027085716,1161314598504370176,bbiblegum,demi Allah masih heran..ini dulu jkw temu  dimana si hidden gem kek bahlil ini
1897535154987454558,astapirwo mantap,1897621476087619911,467555804,timkatakanputus,astapirwo mantap
1897617639851332067,Mungkin kaya bahlil,1897621241269485798,1487577313386856451,dianaoktvynn,Mungkin kaya bahlil
1897620768395346096,bjir lunarnya jadi tinggi gini punya kaki seengganya gak pendek kek bahlil https://t.co/a06iVN7uWe,1897620768395346096,1844798237162774528,limejerukk,bjir lunarnya jadi tinggi gini punya kaki seengganya tidak pendek kek bahlil https://t.co/a06iVN7uWe
1897620763747774544,Gamau minta bantuan ke alumninya si bahlil?,1897620763747774544,1549965954972413955,tokuts_ameh,Gamau minta bantuan ke alumninya si bahlil?
